Barcode No.,DSM-Number,bx-number,Lot-Number,Data Sequencing Source,Sequencing Date,Bacteria Strain,Animal,Galaxy Analysis Date,History Link,Comments
Barcode 1,DSM 9221,3042819,0517,Biolytix,17.02.2022,Salmonella enterica subsp. Houtenae (1),Pure Pathogen,28.03.2023,Link,
Barcode 2,DSM 554,3042821,0404,Biolytix,17.02.2022,Salmonella enterica subsp. Enterica (4),Pure Pathogen,28.03.2023,,
Barcode 3,DSM 9220,3042820,0116,Biolytix,17.02.2022,Salmonella enterica subsp. Salamae (2),Pure Pathogen,28.03.2023,,
Barcode 4,DSM 4688,3042825,-,Biolytix,17.02.2022,Campylobacter jejuni subsp. Jejuni (3),Pure Pathogen,28.03.2023,,
Barcode 5,DSM 4689,3042826,0219,Biolytix,17.02.2022,Campylobacter coli (7),Pure Pathogen,28.03.2023,,
Barcode 6,DSM 11375,3042827,1219,Biolytix,17.02.2022,Campylobacter coli (7),Pure Pathogen,28.03.2023,,
Barcode 7,DSM 20600,3042822,1020,Biolytix,17.02.2022,Listeria monocytogenes (5) 20600,Pure Pathogen,28.03.2023,,
Barcode 8,DSM 19094,3042823,1120,Biolytix,17.02.2022,Listeria monocytogenes (6) 19094,Pure Pathogen,28.03.2023,,
Barcode 9,DSM 20750,3042824,1019,Biolytix,17.02.2022,Listeria ivanovii subsp. Ivanovii (9),Pure Pathogen,28.03.2023,,
Barcode 1,DSM 9221,3042819,0517,Biolytix,10.05.2022,Salmonella enterica subsp. Houtenae (1),Pure Pathogen,,,
Barcode 2,DSM 554,3042821,0404,Biolytix,10.05.2022,Salmonella enterica subsp. Enterica (4),Pure Pathogen,,,
Barcode 3,DSM 9220,3042820,0116,Biolytix,10.05.2022,Salmonella enterica subsp. Salamae (2),Pure Pathogen,,,
Barcode 4,DSM 4688,3042825,-,Biolytix,10.05.2022,Campylobacter jejuni subsp. Jejuni (3),Pure Pathogen,,,
Barcode 5,DSM 4689,3042826,0219,Biolytix,10.05.2022,Campylobacter coli (7),Pure Pathogen,,,
Barcode 7,DSM 20600,3042822,1020,Biolytix,10.05.2022,Listeria monocytogenes (5) 20600,Pure Pathogen,,,
Barcode 8,DSM 19094,3042823,1120,Biolytix,10.05.2022,Listeria monocytogenes (6) 19094,Pure Pathogen,,,
Barcode 9,DSM 20750,3042824,1019,Biolytix,10.05.2022,Listeria ivanovii subsp. Ivanovii (9),Pure Pathogen,,,
