	S01-Salonella enterica-chickenStool-2021	S02-Salonella enterica-chickenStool-2021	S03-Salonella enterica-chickenStool-2021	S04-Salonella enterica-chickenStool-2021	S05-Salonella enterica-chickenStool-2021	S06-Salonella enterica-humanStool-2021	S07-Salonella enterica-chickenStool-2021	S08-Salonella enterica-chickenStool-2021	S09-Salonella enterica-chickenMeat-2021	S10-Salonella enterica-chickenMeat-2021	S11-Salonella enterica-chickenMeat-2021	S12-Salonella enterica-chickenMeat-2021	S13-Salonella enterica-chickenMeat-2021	S14-Salonella enterica-chickenMeat-2021	S15-Salonella enterica-chickenMeat-2021	S16-Salonella enterica-chickenMeat-2021	S17-Salonella enterica-humanStool-2022	S18-Salonella enterica-humanStool-2022	S19-Salonella enterica-humanStool-2022	S20-Campylobacter jejuni-chickenMeat-2021	S21-Campylobacter jejuni-chickenMeat-2021	S22-Campylobacter jejuni-chickenMeat-2021	S23-Campylobacter jejuni-chickenMeat-2021	S24-Campylobacter jejuni-chickenMeat-2021	S25-Campylobacter jejuni-chickenMeat-2021	S26-Campylobacter jejuni-chickenMeat-2021	S27-Campylobacter jejuni-chickenMeat-2021	S28-Campylobacter jejuni-chickenMeat-2021	S29-Campylobacter jejuni-chickenMeat-2021	S30-Campylobacter jejuni-chickenMeat-2021	S31-Campylobacter jejuni-chickenMeat-2021	S32-Campylobacter jejuni-chickenMeat-2021	S33-Campylobacter jejuni-chickenMeat-2021	S34-Campylobacter jejuni-chickenMeat-2021	S35-Campylobacter jejuni-chickenMeat-2021	S36-Campylobacter jejuni-chickenMeat-2021	S37-Campylobacter jejuni-chickenMeat-2021	S38-Campylobacter jejuni-chickenStool-2021	S39-Campylobacter jejuni-chickenStool-2021	S40-Campylobacter jejuni-chickenStool-2021	S41-Campylobacter jejuni-chickenStool-2021	S42-Campylobacter jejuni-chickenStool-2021	S43-Campylobacter jejuni-chickenStool-2021	S44-Campylobacter jejuni-chickenStool-2021	S45-Campylobacter jejuni-chickenStool-2021	S46-Campylobacter jejuni-chickenStool-2021	S47-Campylobacter jejuni-chickenStool-2021	S48-Campylobacter jejuni-chickenStool-2021	S49-Campylobacter jejuni-humanStool-2021	S50-Campylobacter jejuni-humanStool-2021	S51-Campylobacter jejuni-humanStool-2021	S52-Campylobacter jejuni-humanStool-2021	S53-Campylobacter jejuni-humanStool-2021	S54-Campylobacter jejuni-humanStool-2021	S55-Campylobacter jejuni-humanStool-2021	S56-Campylobacter jejuni-humanStool-2021	S57-Campylobacter jejuni-humanStool-2021	S58-Campylobacter jejuni-humanStool-2021	S59-Campylobacter jejuni-humanStool-2021	S60-Campylobacter jejuni-humanStool-2021	S61-Campylobacter jejuni-humanStool-2021	S62-Campylobacter jejuni-humanStool-2021	S63-Campylobacter jejuni-humanStool-2021	S64-Campylobacter jejuni-humanStool-2021	S65-Campylobacter jejuni-humanStool-2021	S66-Campylobacter jejuni-humanStool-2021	S67-Campylobacter jejuni-humanStool-2021	S68-Campylobacter jejuni-humanStool-2021	S69-Campylobacter jejuni-chickenStool-2022	S70-Campylobacter jejuni-chickenStool-2022	S71-Campylobacter jejuni-chickenStool-2022	S72-Campylobacter jejuni-chickenStool-2022	S73-Campylobacter jejuni-chickenStool-2022	S74-Campylobacter jejuni-chickenStool-2022	S75-Campylobacter jejuni-chickenStool-2022	S76-Campylobacter jejuni-chickenStool-2022	S77-Campylobacter jejuni-chickenStool-2022	S78-Campylobacter jejuni-chickenStool-2022	S79-Campylobacter jejuni-chickenStool-2022	S80-Campylobacter jejuni-chickenStool-2022	S81-Campylobacter jejuni-humanStool-2022	S82-Campylobacter jejuni-humanStool-2022	S83-Campylobacter jejuni-humanStool-2022	S84-Campylobacter jejuni-humanStool-2022
	S01-Salonella enterica-chickenStool-2021	S02-Salonella enterica-chickenStool-2021	S03-Salonella enterica-chickenStool-2021	S04-Salonella enterica-chickenStool-2021	S05-Salonella enterica-chickenStool-2021	S06-Salonella enterica-humanStool-2021	S07-Salonella enterica-chickenStool-2021	S08-Salonella enterica-chickenStool-2021	S09-Salonella enterica-chickenMeat-2021	S10-Salonella enterica-chickenMeat-2021	S11-Salonella enterica-chickenMeat-2021	S12-Salonella enterica-chickenMeat-2021	S13-Salonella enterica-chickenMeat-2021	S14-Salonella enterica-chickenMeat-2021	S15-Salonella enterica-chickenMeat-2021	S16-Salonella enterica-chickenMeat-2021	S17-Salonella enterica-humanStool-2022	S18-Salonella enterica-humanStool-2022	S19-Salonella enterica-humanStool-2022	S20-Campylobacter jejuni-chickenMeat-2021	S21-Campylobacter jejuni-chickenMeat-2021	S22-Campylobacter jejuni-chickenMeat-2021	S23-Campylobacter jejuni-chickenMeat-2021	S24-Campylobacter jejuni-chickenMeat-2021	S25-Campylobacter jejuni-chickenMeat-2021	S26-Campylobacter jejuni-chickenMeat-2021	S27-Campylobacter jejuni-chickenMeat-2021	S28-Campylobacter jejuni-chickenMeat-2021	S29-Campylobacter jejuni-chickenMeat-2021	S30-Campylobacter jejuni-chickenMeat-2021	S31-Campylobacter jejuni-chickenMeat-2021	S32-Campylobacter jejuni-chickenMeat-2021	S33-Campylobacter jejuni-chickenMeat-2021	S34-Campylobacter jejuni-chickenMeat-2021	S35-Campylobacter jejuni-chickenMeat-2021	S36-Campylobacter jejuni-chickenMeat-2021	S37-Campylobacter jejuni-chickenMeat-2021	S38-Campylobacter jejuni-chickenStool-2021	S39-Campylobacter jejuni-chickenStool-2021	S40-Campylobacter jejuni-chickenStool-2021	S41-Campylobacter jejuni-chickenStool-2021	S42-Campylobacter jejuni-chickenStool-2021	S43-Campylobacter jejuni-chickenStool-2021	S44-Campylobacter jejuni-chickenStool-2021	S45-Campylobacter jejuni-chickenStool-2021	S46-Campylobacter jejuni-chickenStool-2021	S47-Campylobacter jejuni-chickenStool-2021	S48-Campylobacter jejuni-chickenStool-2021	S49-Campylobacter jejuni-humanStool-2021	S50-Campylobacter jejuni-humanStool-2021	S51-Campylobacter jejuni-humanStool-2021	S52-Campylobacter jejuni-humanStool-2021	S53-Campylobacter jejuni-humanStool-2021	S54-Campylobacter jejuni-humanStool-2021	S55-Campylobacter jejuni-humanStool-2021	S56-Campylobacter jejuni-humanStool-2021	S57-Campylobacter jejuni-humanStool-2021	S58-Campylobacter jejuni-humanStool-2021	S59-Campylobacter jejuni-humanStool-2021	S60-Campylobacter jejuni-humanStool-2021	S61-Campylobacter jejuni-humanStool-2021	S62-Campylobacter jejuni-humanStool-2021	S63-Campylobacter jejuni-humanStool-2021	S64-Campylobacter jejuni-humanStool-2021	S65-Campylobacter jejuni-humanStool-2021	S66-Campylobacter jejuni-humanStool-2021	S67-Campylobacter jejuni-humanStool-2021	S68-Campylobacter jejuni-humanStool-2021	S69-Campylobacter jejuni-chickenStool-2022	S70-Campylobacter jejuni-chickenStool-2022	S71-Campylobacter jejuni-chickenStool-2022	S72-Campylobacter jejuni-chickenStool-2022	S73-Campylobacter jejuni-chickenStool-2022	S74-Campylobacter jejuni-chickenStool-2022	S75-Campylobacter jejuni-chickenStool-2022	S76-Campylobacter jejuni-chickenStool-2022	S77-Campylobacter jejuni-chickenStool-2022	S78-Campylobacter jejuni-chickenStool-2022	S79-Campylobacter jejuni-chickenStool-2022	S80-Campylobacter jejuni-chickenStool-2022	S81-Campylobacter jejuni-humanStool-2022	S82-Campylobacter jejuni-humanStool-2022	S83-Campylobacter jejuni-humanStool-2022	S84-Campylobacter jejuni-humanStool-2022
	S01-Salonella enterica-chickenStool-2021	S02-Salonella enterica-chickenStool-2021	S03-Salonella enterica-chickenStool-2021	S04-Salonella enterica-chickenStool-2021	S05-Salonella enterica-chickenStool-2021	S06-Salonella enterica-humanStool-2021	S07-Salonella enterica-chickenStool-2021	S08-Salonella enterica-chickenStool-2021	S09-Salonella enterica-chickenMeat-2021	S10-Salonella enterica-chickenMeat-2021	S11-Salonella enterica-chickenMeat-2021	S12-Salonella enterica-chickenMeat-2021	S13-Salonella enterica-chickenMeat-2021	S14-Salonella enterica-chickenMeat-2021	S15-Salonella enterica-chickenMeat-2021	S16-Salonella enterica-chickenMeat-2021	S17-Salonella enterica-humanStool-2022	S18-Salonella enterica-humanStool-2022	S19-Salonella enterica-humanStool-2022	S20-Campylobacter jejuni-chickenMeat-2021	S21-Campylobacter jejuni-chickenMeat-2021	S22-Campylobacter jejuni-chickenMeat-2021	S23-Campylobacter jejuni-chickenMeat-2021	S24-Campylobacter jejuni-chickenMeat-2021	S25-Campylobacter jejuni-chickenMeat-2021	S26-Campylobacter jejuni-chickenMeat-2021	S27-Campylobacter jejuni-chickenMeat-2021	S28-Campylobacter jejuni-chickenMeat-2021	S29-Campylobacter jejuni-chickenMeat-2021	S30-Campylobacter jejuni-chickenMeat-2021	S31-Campylobacter jejuni-chickenMeat-2021	S32-Campylobacter jejuni-chickenMeat-2021	S33-Campylobacter jejuni-chickenMeat-2021	S34-Campylobacter jejuni-chickenMeat-2021	S35-Campylobacter jejuni-chickenMeat-2021	S36-Campylobacter jejuni-chickenMeat-2021	S37-Campylobacter jejuni-chickenMeat-2021	S38-Campylobacter jejuni-chickenStool-2021	S39-Campylobacter jejuni-chickenStool-2021	S40-Campylobacter jejuni-chickenStool-2021	S41-Campylobacter jejuni-chickenStool-2021	S42-Campylobacter jejuni-chickenStool-2021	S43-Campylobacter jejuni-chickenStool-2021	S44-Campylobacter jejuni-chickenStool-2021	S45-Campylobacter jejuni-chickenStool-2021	S46-Campylobacter jejuni-chickenStool-2021	S47-Campylobacter jejuni-chickenStool-2021	S48-Campylobacter jejuni-chickenStool-2021	S49-Campylobacter jejuni-humanStool-2021	S50-Campylobacter jejuni-humanStool-2021	S51-Campylobacter jejuni-humanStool-2021	S52-Campylobacter jejuni-humanStool-2021	S53-Campylobacter jejuni-humanStool-2021	S54-Campylobacter jejuni-humanStool-2021	S55-Campylobacter jejuni-humanStool-2021	S56-Campylobacter jejuni-humanStool-2021	S57-Campylobacter jejuni-humanStool-2021	S58-Campylobacter jejuni-humanStool-2021	S59-Campylobacter jejuni-humanStool-2021	S60-Campylobacter jejuni-humanStool-2021	S61-Campylobacter jejuni-humanStool-2021	S62-Campylobacter jejuni-humanStool-2021	S63-Campylobacter jejuni-humanStool-2021	S64-Campylobacter jejuni-humanStool-2021	S65-Campylobacter jejuni-humanStool-2021	S66-Campylobacter jejuni-humanStool-2021	S67-Campylobacter jejuni-humanStool-2021	S68-Campylobacter jejuni-humanStool-2021	S69-Campylobacter jejuni-chickenStool-2022	S70-Campylobacter jejuni-chickenStool-2022	S71-Campylobacter jejuni-chickenStool-2022	S72-Campylobacter jejuni-chickenStool-2022	S73-Campylobacter jejuni-chickenStool-2022	S74-Campylobacter jejuni-chickenStool-2022	S75-Campylobacter jejuni-chickenStool-2022	S76-Campylobacter jejuni-chickenStool-2022	S77-Campylobacter jejuni-chickenStool-2022	S78-Campylobacter jejuni-chickenStool-2022	S79-Campylobacter jejuni-chickenStool-2022	S80-Campylobacter jejuni-chickenStool-2022	S81-Campylobacter jejuni-humanStool-2022	S82-Campylobacter jejuni-humanStool-2022	S83-Campylobacter jejuni-humanStool-2022	S84-Campylobacter jejuni-humanStool-2022
	S01-Salonella enterica-chickenStool-2021	S02-Salonella enterica-chickenStool-2021	S03-Salonella enterica-chickenStool-2021	S04-Salonella enterica-chickenStool-2021	S05-Salonella enterica-chickenStool-2021	S06-Salonella enterica-humanStool-2021	S07-Salonella enterica-chickenStool-2021	S08-Salonella enterica-chickenStool-2021	S09-Salonella enterica-chickenMeat-2021	S10-Salonella enterica-chickenMeat-2021	S11-Salonella enterica-chickenMeat-2021	S12-Salonella enterica-chickenMeat-2021	S13-Salonella enterica-chickenMeat-2021	S14-Salonella enterica-chickenMeat-2021	S15-Salonella enterica-chickenMeat-2021	S16-Salonella enterica-chickenMeat-2021	S17-Salonella enterica-humanStool-2022	S18-Salonella enterica-humanStool-2022	S19-Salonella enterica-humanStool-2022	S20-Campylobacter jejuni-chickenMeat-2021	S21-Campylobacter jejuni-chickenMeat-2021	S22-Campylobacter jejuni-chickenMeat-2021	S23-Campylobacter jejuni-chickenMeat-2021	S24-Campylobacter jejuni-chickenMeat-2021	S25-Campylobacter jejuni-chickenMeat-2021	S26-Campylobacter jejuni-chickenMeat-2021	S27-Campylobacter jejuni-chickenMeat-2021	S28-Campylobacter jejuni-chickenMeat-2021	S29-Campylobacter jejuni-chickenMeat-2021	S30-Campylobacter jejuni-chickenMeat-2021	S31-Campylobacter jejuni-chickenMeat-2021	S32-Campylobacter jejuni-chickenMeat-2021	S33-Campylobacter jejuni-chickenMeat-2021	S34-Campylobacter jejuni-chickenMeat-2021	S35-Campylobacter jejuni-chickenMeat-2021	S36-Campylobacter jejuni-chickenMeat-2021	S37-Campylobacter jejuni-chickenMeat-2021	S38-Campylobacter jejuni-chickenStool-2021	S39-Campylobacter jejuni-chickenStool-2021	S40-Campylobacter jejuni-chickenStool-2021	S41-Campylobacter jejuni-chickenStool-2021	S42-Campylobacter jejuni-chickenStool-2021	S43-Campylobacter jejuni-chickenStool-2021	S44-Campylobacter jejuni-chickenStool-2021	S45-Campylobacter jejuni-chickenStool-2021	S46-Campylobacter jejuni-chickenStool-2021	S47-Campylobacter jejuni-chickenStool-2021	S48-Campylobacter jejuni-chickenStool-2021	S49-Campylobacter jejuni-humanStool-2021	S50-Campylobacter jejuni-humanStool-2021	S51-Campylobacter jejuni-humanStool-2021	S52-Campylobacter jejuni-humanStool-2021	S53-Campylobacter jejuni-humanStool-2021	S54-Campylobacter jejuni-humanStool-2021	S55-Campylobacter jejuni-humanStool-2021	S56-Campylobacter jejuni-humanStool-2021	S57-Campylobacter jejuni-humanStool-2021	S58-Campylobacter jejuni-humanStool-2021	S59-Campylobacter jejuni-humanStool-2021	S60-Campylobacter jejuni-humanStool-2021	S61-Campylobacter jejuni-humanStool-2021	S62-Campylobacter jejuni-humanStool-2021	S63-Campylobacter jejuni-humanStool-2021	S64-Campylobacter jejuni-humanStool-2021	S65-Campylobacter jejuni-humanStool-2021	S66-Campylobacter jejuni-humanStool-2021	S67-Campylobacter jejuni-humanStool-2021	S68-Campylobacter jejuni-humanStool-2021	S69-Campylobacter jejuni-chickenStool-2022	S70-Campylobacter jejuni-chickenStool-2022	S71-Campylobacter jejuni-chickenStool-2022	S72-Campylobacter jejuni-chickenStool-2022	S73-Campylobacter jejuni-chickenStool-2022	S74-Campylobacter jejuni-chickenStool-2022	S75-Campylobacter jejuni-chickenStool-2022	S76-Campylobacter jejuni-chickenStool-2022	S77-Campylobacter jejuni-chickenStool-2022	S78-Campylobacter jejuni-chickenStool-2022	S79-Campylobacter jejuni-chickenStool-2022	S80-Campylobacter jejuni-chickenStool-2022	S81-Campylobacter jejuni-humanStool-2022	S82-Campylobacter jejuni-humanStool-2022	S83-Campylobacter jejuni-humanStool-2022	S84-Campylobacter jejuni-humanStool-2022
Cj1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cj1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cj1416c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cj1417c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cj1419c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cj1420c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cj1434c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
