	Strain: Mix(5:5:5): 5x S.Houtenea + 5x S.enterica + 5x S.Salamae	Strain: Mix(10:1:1): 10x S.Houtenea + 1x S.enterica + 1x S.Salamae	Strain: S.Enterica	Strain: S.Salamae	Strain: S.Houtenae	Strain: S.Enterica	Strain: S.Houtenae	Strain: S.Salamae	Strain: S.Houtenae	Strain: S.Enterica	Strain: S.Salamae	Strain: S.Houtenae	Strain: S.Enterica	Strain: S.Houtenae	Strain: S.Enterica
	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted
	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched
VF Gene: IlpA	0	0	1	1	0	0	0	1	1	2	1	1	1	1	1
VF Gene: alg44	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: alg8	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algA	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1
VF Gene: algB	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algC	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algD	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0
VF Gene: algE	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algF	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algG	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algI	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algJ	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algK	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algL	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algP/algR3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algR	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
VF Gene: algU	0	0	0	1	2	0	0	1	2	0	1	2	1	0	1
VF Gene: algW	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
