	Sample Number: S01	Sample Number: S02	Sample Number: S03	Sample Number: S04	Sample Number: S05	Sample Number: S06	Sample Number: S07	Sample Number: S08	Sample Number: S09	Sample Number: S10	Sample Number: S11	Sample Number: S12	Sample Number: S13	Sample Number: S14	Sample Number: S15	Sample Number: S16	Sample Number: S17	Sample Number: S18	Sample Number: S19	Sample Number: S20	Sample Number: S21	Sample Number: S22	Sample Number: S23	Sample Number: S24	Sample Number: S25	Sample Number: S26	Sample Number: S27	Sample Number: S28	Sample Number: S29	Sample Number: S30	Sample Number: S31	Sample Number: S32	Sample Number: S33	Sample Number: S34	Sample Number: S35	Sample Number: S36	Sample Number: S37	Sample Number: S38	Sample Number: S39	Sample Number: S40	Sample Number: S41	Sample Number: S42	Sample Number: S43	Sample Number: S44	Sample Number: S45	Sample Number: S46	Sample Number: S47	Sample Number: S48	Sample Number: S49	Sample Number: S50	Sample Number: S51	Sample Number: S52	Sample Number: S53	Sample Number: S54	Sample Number: S55	Sample Number: S56	Sample Number: S57	Sample Number: S58	Sample Number: S59	Sample Number: S60	Sample Number: S61	Sample Number: S62	Sample Number: S63	Sample Number: S64	Sample Number: S65	Sample Number: S66	Sample Number: S67	Sample Number: S68	Sample Number: S69	Sample Number: S70	Sample Number: S71	Sample Number: S72	Sample Number: S73	Sample Number: S74	Sample Number: S75	Sample Number: S76	Sample Number: S77	Sample Number: S78	Sample Number: S79	Sample Number: S80	Sample Number: S81	Sample Number: S82	Sample Number: S83	Sample Number: S84
	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Salmonella enterica	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni	Species: Campylobacter jejuni
	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Human Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Meat	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Chicken Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool	Medium: Human Stool
	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2021	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022	Year: Y-2022
alga	58.51	58.51	58.51	58.51	58.51	58.51	58.51	58.51	58.58	58.51	58.58	58.51	58.51	58.51	58.51	58.51	58.3	58.3	58.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
algu	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	67.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
avra	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cadf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
cdta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.75	99.75	99.75	99.63	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.63	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	99.75	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
cdtb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	94.24	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
cdtc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
