key	snps count
Spike4Barcode16	17088
Spike4Barcode15	52993
Spike4Barcode14	359
Spike4Barcode13	3147
Spike4Barcode12	0
Spike4Barcode11	0
Spike4Barcode10	0
Spike4Barcode09	102
Spike4Barcode08	0
Spike4Barcode07	0
Spike4Barcode06	0
Spike4Barcode05	0
Spike4Barcode04	0
Spike4Barcode03	0
Spike4Barcode02	6
Spike2bBarcode10	875
Spike2bBarcode11	167846
Spike2bBarcode12	129662
Spike2bBarcode13	10580
Spike2bBarcode14	9477
Spike2bBarcode15	4969
Spike3Barcode10	1447
Spike3Barcode11	1828
Spike3Barcode12	93
Spike3Barcode13	0
Spike3Barcode14	0
Spike3Barcode15	0
Spike3bBarcode10	8301
Spike3bBarcode11	106738
Spike3bBarcode12	99828
Spike3bBarcode13	0
Spike3bBarcode14	242
Spike3bBarcode15	0
Spike4Barcode01	68
Spike1Barcode10	230
Spike1Barcode11	110152
Spike1Barcode12	792
Spike1Barcode13	206
Spike1Barcode14	319
Spike1Barcode15	0
Spike2Barcode10	0
Spike2Barcode11	176128
Spike2Barcode12	141582
Spike2Barcode13	2
Spike2Barcode14	2148
Spike2Barcode15	0
