key	AMRs count	VFs count
barcode01	6	203
barcode02	8	204
barcode03	12	207
barcode04	13	203
barcode05	6	203
barcode06	6	204
barcode07	6	203
barcode08	6	203
barcode09	9	172
barcode10	6	203
barcode11	10	172
barcode12	6	203
barcode13	6	204
barcode14	6	203
barcode15	6	204
barcode16	6	203
barcode17	2	191
barcode18	2	193
barcode19	2	198
barcode20	12	96
barcode21	12	96
barcode22	12	96
barcode23	12	96
barcode24	12	96
barcode25	12	96
barcode26	12	96
barcode27	12	96
barcode28	12	96
barcode29	12	96
barcode30	12	96
barcode31	12	96
barcode32	12	96
barcode33	12	96
barcode34	12	96
barcode35	12	96
barcode36	12	96
barcode37	12	96
barcode38	12	96
barcode39	12	96
barcode40	12	96
barcode41	12	96
barcode42	12	96
barcode43	12	96
barcode44	12	96
barcode45	12	96
barcode46	12	96
barcode47	12	96
barcode48	12	96
barcode49	12	96
barcode50	12	96
barcode51	12	96
barcode52	12	96
barcode53	12	96
barcode54	12	96
barcode55	12	96
barcode56	12	96
barcode57	12	96
barcode58	12	96
barcode59	12	96
barcode60	12	96
barcode61	12	96
barcode62	13	96
barcode63	12	96
barcode64	12	96
barcode65	12	96
barcode66	12	96
barcode67	12	96
barcode68	12	97
barcode69	2	108
barcode70	2	108
barcode71	2	108
barcode72	2	108
barcode73	2	108
barcode74	2	108
barcode75	2	108
barcode76	2	109
barcode77	2	108
barcode78	2	108
barcode79	2	113
barcode80	2	108
barcode81	2	108
barcode82	2	108
barcode83	2	109
barcode84	2	108
