key	S46-Mix(5:5:5): 5x S.Houtenea + 5x S.enterica + 5x S.Salamae	S45-Mix(10:1:1): 10x S.Houtenea + 1x S.enterica + 1x S.Salamae	S31-S.Enterica(1:E+3 dilution step)	S27-S.Salamae+enrichment	S26-S.Houtenae+enrichment	S25-S.Enterica+enrichment	S20-S.Houtenae+enrichment+Chicken Depletion	S15-S.Salamae+enrichment	S14-S.Houtenae+enrichment	S13-S.Enterica+enrichment	S09-S.Salamae+enrichment	S08-S.Houtenae+enrichment	S07-S.Enterica+enrichment	S02-S.Houtenae+enrichment	S01-S.Enterica+enrichment
IlpA	0	0	1	1	0	0	0	1	1	2	1	1	1	1	1
alg44	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
alg8	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algA	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1
algB	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algC	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algD	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0
algE	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algF	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algG	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algI	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algJ	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algK	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algL	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algP/algR3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algR	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
algU	0	0	0	1	2	0	0	1	2	0	1	2	1	0	1
algW	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
algX	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
aprA	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
astA	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
avrA	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
cheA	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0
cheB	0	0	0	1	0	0	0	1	1	2	1	1	0	1	1
cheD	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1
cheR	0	0	0	1	0	0	0	1	1	2	1	1	0	1	1
cheW	0	0	0	1	0	0	0	1	1	2	1	1	0	1	1
cheY	0	0	0	1	0	0	0	1	2	2	1	2	0	1	1
cheZ	0	0	0	1	0	0	0	1	1	2	1	1	0	1	1
chuA	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
chuS	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0
chuT	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
chuU	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0
chuV	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
chuW	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
chuX	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
chuY	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
clpP	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
csgA	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
csgB	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
csgC	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
csgD	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
csgE	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
csgF	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
csgG	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
ddhA	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
ddhB	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
