	Sample Number: S46	Sample Number: S45	Sample Number: S31	Sample Number: S27	Sample Number: S26	Sample Number: S25	Sample Number: S20	Sample Number: S15	Sample Number: S14	Sample Number: S13	Sample Number: S09	Sample Number: S08	Sample Number: S07	Sample Number: S02	Sample Number: S01	Sample Number: S03	Sample Number: S04	Sample Number: S05	Sample Number: S06	Sample Number: S10	Sample Number: S11	Sample Number: S12	Sample Number: S16	Sample Number: S17	Sample Number: S18	Sample Number: S19	Sample Number: S21	Sample Number: S22	Sample Number: S23	Sample Number: S24	Sample Number: S28	Sample Number: S29	Sample Number: S30	Sample Number: S32	Sample Number: S33	Sample Number: S34	Sample Number: S35	Sample Number: S36	Sample Number: S37	Sample Number: S38	Sample Number: S39	Sample Number: S40	Sample Number: S41	Sample Number: S42	Sample Number: S43	Sample Number: S44
	Expected Strain: Mix(5:5:5):5xS-Houtenea+5xS-Enterica+5xS-Salamae	Expected Strain: Mix(10:1:1):10xS-Houtenea+1xS-Enterica+1xS-Salamae	Expected Strain: S-Enterica	Expected Strain: S-Salamae	Expected Strain: S-Houtenae	Expected Strain: S-Enterica	Expected Strain: S-Houtenae	Expected Strain: S-Salamae	Expected Strain: S-Houtenae	Expected Strain: S-Enterica	Expected Strain: S-Salamae	Expected Strain: S-Houtenae	Expected Strain: S-Enterica	Expected Strain: S-Houtenae	Expected Strain: S-Enterica	Expected Strain: S-Salamae	Expected Strain: S-Enterica	Expected Strain: S-Houtenae	Expected Strain: S-Salamae	Expected Strain: S-Enterica	Expected Strain: S-Houtenae	Expected Strain: S-Salamae	Expected Strain: S-Enterica	Expected Strain: S-Houtenae	Expected Strain: S-Salamae	Expected Strain: S-Enterica	Expected Strain: S-Salamae	Expected Strain: S-Enterica	Expected Strain: S-Houtenae	Expected Strain: S-Salamae	Expected Strain: S-Enterica	Expected Strain: S-Houtenae	Expected Strain: S-Salamae	Expected Strain: S-Enterica	Expected Strain: S-Enterica	Expected Strain: S-Enterica	Expected Strain: S-Houtenae	Expected Strain: S-Houtenae	Expected Strain: S-Houtenae	Expected Strain: S-Houtenae	Expected Strain: S-Salamae	Expected Strain: S-Salamae	Expected Strain: S-Salamae	Expected Strain: S-Salamae	Expected Strain: Mix(1:1:10):1xS-Houtenea+1xS-Enterica+10xS-Salamae	Expected Strain: Mix(1:10:1):1xS-Houtenea+10xS-Enterica+1xS-Salamae
	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: enriched	Enrichment: enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched	Enrichment: not enriched
	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: depleted	Depletion: depleted	Depletion: depleted	Depletion: depleted	Depletion: depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted	Depletion: not depleted
VF Gene: IlpA	0	0	1	1	0	0	0	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VF Gene: alg44	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VF Gene: alg8	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VF Gene: algA	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VF Gene: algB	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VF Gene: algC	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VF Gene: algD	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
