key	quality_retained_all_reads	quality_retained_hosts_reads	removed_hosts_percentage
Spike1Barcode10	212212	195943	92.33360978643998
Spike1Barcode11	103154	88147	85.45184869224654
Spike1Barcode12	21553	13395	62.149120772050296
Spike1Barcode13	69378	67968	97.96765545273718
Spike1Barcode14	52190	51481	98.64150220348726
Spike1Barcode15	50413	49955	99.09150417551028
Spike2Barcode10	91434	53722	58.75494892490758
Spike2Barcode11	117850	65056	55.20237590156979
Spike2Barcode12	30527	24541	80.39112916434632
Spike2Barcode13	83232	81759	98.23024798154556
Spike2Barcode14	64021	62562	97.72106027709658
Spike2Barcode15	51829	50893	98.19406123984642
Spike2bBarcode10	156147	95605	61.22756120834855
Spike2bBarcode11	169948	99624	58.62028385153105
Spike2bBarcode12	58775	48701	82.86005954912802
Spike2bBarcode13	102959	99989	97.11535659825756
Spike2bBarcode14	87640	85064	97.06070287539936
Spike2bBarcode15	67336	65522	97.30604728525603
Spike3Barcode10	6799	4143	60.93543168112958
Spike3Barcode11	21971	14760	67.17946383869646
Spike3Barcode12	4647	3816	82.11749515816655
Spike3Barcode13	6978	6861	98.32330180567497
Spike3Barcode14	5765	5611	97.32870771899394
Spike3Barcode15	4453	4383	98.42802604985404
Spike3bBarcode10	22508	13524	60.08530300337658
Spike3bBarcode11	72502	48457	66.83539764420291
Spike3bBarcode12	15196	12493	82.21242432219005
Spike3bBarcode13	25197	24781	98.3490098027543
Spike3bBarcode14	20359	19897	97.73073333660788
Spike3bBarcode15	15933	15636	98.13594426661646
Spike4Barcode01	87543	74784	85.42544806552209
Spike4Barcode02	65680	63562	96.77527405602923
Spike4Barcode03	29301	28826	98.37889491826218
Spike4Barcode04	155057	151905	97.96719915901893
Spike4Barcode05	103067	100062	97.0844208136455
Spike4Barcode06	12358	12001	97.11118303932676
Spike4Barcode07	62931	61046	97.00465589296213
Spike4Barcode08	57039	55403	97.13178702291415
Spike4Barcode09	15150	14843	97.97359735973598
Spike4Barcode10	58942	57984	98.37467340775677
Spike4Barcode11	49588	48808	98.4270387997096
Spike4Barcode12	82034	80757	98.4433283760392
Spike4Barcode13	106376	102920	96.75114687523502
Spike4Barcode14	71997	69508	96.54291151020182
Spike4Barcode15	134030	123015	91.78169066626874
Spike4Barcode16	127337	120331	94.49806419186882
