key	VFs count	AMRs count
Spike1Barcode10	192	5
Spike1Barcode11	120	1
Spike1Barcode12	0	0
Spike1Barcode13	0	0
Spike1Barcode14	0	0
Spike1Barcode15	0	0
Spike2Barcode10	216	7
Spike2Barcode11	288	2
Spike2Barcode12	173	1
Spike2Barcode13	0	0
Spike2Barcode14	0	0
Spike2Barcode15	0	0
Spike2bBarcode10	271	8
Spike2bBarcode11	283	2
Spike2bBarcode12	174	2
Spike2bBarcode13	0	0
Spike2bBarcode14	0	0
Spike2bBarcode15	0	0
Spike3Barcode11	1	0
Spike3bBarcode10	12	5
Spike3bBarcode11	208	2
Spike3bBarcode12	132	1
Spike3bBarcode13	0	0
Spike3bBarcode14	0	0
Spike3bBarcode15	0	0
Spike4Barcode01	78	3
Spike4Barcode04	0	0
Spike4Barcode05	0	0
Spike4Barcode07	0	0
Spike4Barcode08	0	0
Spike4Barcode10	0	0
Spike4Barcode12	0	0
Spike4Barcode13	0	0
Spike4Barcode14	0	0
Spike4Barcode15	8	0
Spike4Barcode16	1	0
