Sample ID	Spiked pathogen species	Spiked pathogen subspecies	Spiked pathogen strains	Species found in PathoGFAIR Taxonomy profiling	Salmonella enterica Subspecies found in PathoGFAIR Taxonomy profiling	Salmonella enterica Strains found in PathoGFAIR gene-based pathogen identification (VF genes product)	Relative abundance (%) of the expected subspecies in PathoGFAIR Taxonomy profiling	PathoGFAIR species result	PathoGFAIR subspecies result	Species found by IDseq (CZID)	Subspecies found by IDseq (CZID)	IDseq (CZID) species result	IDseq (CZID) subspecies result
Spike1Barcode10	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (96%), Salmonella enterica subsp. houtenae (0.3%),  Salmonella enterica subsp. VII (0.06%),  Salmonella enterica subsp. indica (0.2%), other salmonella enterica (3%)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	96	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike1Barcode11	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica	Salmonella enterica subsp houtenae (75%), Salmonella enterica subsp. enterica (9%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (2%), other salmonella enterica (9%)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	75	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike1Barcode12	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (33%),  Salmonella enterica subsp. houtenae (13%),  Salmonella enterica subsp. VII (7%),  Salmonella enterica subsp. indica (31%), other salmonella enterica (16%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike1Barcode13	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (50%), Salmonella enterica subsp. houtenae (28%),  Salmonella enterica subsp. VII (6%),  Salmonella enterica subsp. indica (11%), other salmonella enterica (6%)		50	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike1Barcode14	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica	Salmonella enterica subsp houtenae (79%), Salmonella enterica subsp. enterica (3%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0.7%), other salmonella enterica (13%)		79	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike1Barcode15	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (20%),  Salmonella enterica subsp. houtenae (7%),  Salmonella enterica subsp. VII (7%),  Salmonella enterica subsp. indica (47%), other salmonella enterica (20%)		0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike2Barcode10	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (93%), Salmonella enterica subsp. houtenae (0.2%),  Salmonella enterica subsp. VII (0.2%),  Salmonella enterica subsp. indica (0.2%), other salmonella enterica (6%)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	93	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike2Barcode11	Salmonella enterica	Salmonella enterica subsp. houtenae	Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica	Salmonella enterica subsp houtenae (86%), Salmonella enterica subsp. enterica (2%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0.8%), other salmonella enterica (8%)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	86	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
Spike2Barcode12	Salmonella enterica	Salmonella enterica subsp. salamae	Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica	Salmonella enterica subsp. enterica (2%),  Salmonella enterica subsp. houtenae (84%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (8%)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	0	True Positive	False Positive	Salmonella enterica		True Positive	False Negative
Spike2Barcode13	Salmonella enterica	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica	Salmonella enterica subsp. enterica (50%), Salmonella enterica subsp. houtenae (42%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (4%)		50	True Positive	True Positive	Salmonella enterica		True Positive	False Negative
