Sample ID	Expected Pathogen at Species rank	IDseq (CZID) found species	IDseq (CZID) species result	PathoGFAIR found species	PathoGFAIR species result		Expected Pathogen at Subspecies rank	IDseq (CZID) found subspecies	IDseq (CZID) subspecies result	PathoGFAIR found subspecies	PathoGFAIR subspecies result
Spike1Barcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (96%), Salmonella enterica subsp. houtenae (0.3%),  Salmonella enterica subsp. VII (0.06%),  Salmonella enterica subsp. indica (0.2%), other salmonella enterica (3%)	True Positive
Spike1Barcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (75%), Salmonella enterica subsp. enterica (9%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (2%), other salmonella enterica (9%)	True Positive
Spike1Barcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (33%),  Salmonella enterica subsp. houtenae (13%),  Salmonella enterica subsp. VII (7%),  Salmonella enterica subsp. indica (31%), other salmonella enterica (16%)	False Positive
Spike1Barcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (50%), Salmonella enterica subsp. houtenae (28%),  Salmonella enterica subsp. VII (6%),  Salmonella enterica subsp. indica (11%), other salmonella enterica (6%)	True Positive
Spike1Barcode14	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (79%), Salmonella enterica subsp. enterica (3%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0.7%), other salmonella enterica (13%)	True Positive
Spike1Barcode15	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (20%),  Salmonella enterica subsp. houtenae (7%),  Salmonella enterica subsp. VII (7%),  Salmonella enterica subsp. indica (47%), other salmonella enterica (20%)	False Positive
Spike2Barcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (93%), Salmonella enterica subsp. houtenae (0.2%),  Salmonella enterica subsp. VII (0.2%),  Salmonella enterica subsp. indica (0.2%), other salmonella enterica (6%)	True Positive
Spike2Barcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (86%), Salmonella enterica subsp. enterica (2%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0.8%), other salmonella enterica (8%)	True Positive
Spike2Barcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (2%),  Salmonella enterica subsp. houtenae (84%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (8%)	False Positive
Spike2Barcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (50%), Salmonella enterica subsp. houtenae (42%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (4%)	True Positive
