Sample ID	Expected Pathogen at Species rank	IDseq (CZID) found species	IDseq (CZID) species result	PathoGFAIR found species	PathoGFAIR species result		Expected Pathogen at Subspecies rank	IDseq (CZID) found subspecies	IDseq (CZID) subspecies result	PathoGFAIR found subspecies	PathoGFAIR subspecies result		Expected Pathogen at Strain rank	PathoGFAIR detected pathogen at (Species, Subspecies or Strain taxonomic ranks)
Spike1Barcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica	True Positive		Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
Spike1Barcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae	True Positive		Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica subsp houtenae
Spike1Barcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (33%),  Salmonella enterica subsp. houtenae (13%),  Salmonella enterica subsp. VII (7%),  Salmonella enterica subsp. indica (31%), other salmonella enterica (16%)	False Positive		Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica
Spike1Barcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica	True Positive		Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica subsp. enterica
Spike1Barcode14	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae	True Positive		Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica subsp houtenae
Spike1Barcode15	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (20%),  Salmonella enterica subsp. houtenae (7%),  Salmonella enterica subsp. VII (7%),  Salmonella enterica subsp. indica (47%), other salmonella enterica (20%)	False Positive		Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica
Spike2Barcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica	True Positive		Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
Spike2Barcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae	True Positive		Salmonella enterica subsp. houtenae (DSM 9221)	Salmonella enterica subsp houtenae
Spike2Barcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (2%),  Salmonella enterica subsp. houtenae (84%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (8%)	False Positive		Salmonella enterica subsp. salamae (DSM 9220)	Salmonella enterica
Spike2Barcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica	True Positive		Salmonella enterica subsp. enterica (DSM 554)	Salmonella enterica subsp. enterica
