,SampleID,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
0,barcode01,barcode01_contig_1,127176,128317,-,cheD,376-1517/1674,...=====/=====.,2/6,68.04,71.88,vfdb,YP_001006778,(cheD) methyl-accepting chemotaxis protein CheD [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081],
1,barcode01,barcode01_contig_1,137724,138271,-,pilW,7-554/921,========/=.....,6/6,59.17,66.79,vfdb,YP_001007658,(pilW) type IV fimbrial biogenesis protein PilW [Type IV pili (CVF049)] [Yersinia enterocolitica subsp. enterocolitica 8081],
2,barcode01,barcode01_contig_1,327953,329593,-,htpB,10-1653/1653,========/======,9/15,98.91,70.18,vfdb,YP_094724,(htpB) Hsp60 60K heat shock protein HtpB [Hsp60 (VF0159)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
3,barcode01,barcode01_contig_1,477985,478682,+,gtrB,1-698/930,========/===...,6/10,74.52,76.25,vfdb,NP_706258,(gtrB) bactoprenol glucosyl transferase [LPS (VF0124)] [Shigella flexneri 2a str. 301],
4,barcode01,barcode01_contig_1,500956,502051,-,icl,197-1271/1287,..======/======,20/57,82.13,66.43,vfdb,YP_177728,(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253)] [Mycobacterium tuberculosis H37Rv],
5,barcode01,barcode01_contig_1,583448,584610,-,katA,162-1333/2250,.=======/=.....,13/31,51.2,64.83,vfdb,YP_094248,(katA) catalase/(hydro)peroxidase [KatAB (VF0168)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
6,barcode01,barcode01_contig_1,770160,770764,-,rffG,151-755/1014,..======/===...,2/4,59.47,67.05,vfdb,NP_439034,(rffG) dTDP-glucose 46-dehydratase [LOS (CVF494)] [Haemophilus influenzae Rd KW20],
7,barcode01,barcode01_contig_1,934351,935046,+,mgtC,1-696/696,===============,0/0,100.0,99.86,vfdb,NP_462663,(mgtC) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
8,barcode01,barcode01_contig_1,935266,937993,+,mgtB,1-2727/2727,========/======,1/1,100.0,99.19,vfdb,NP_462662,(mgtB) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
9,barcode01,barcode01_contig_1,941849,944716,-,misL,1-2868/2868,===============,0/0,100.0,99.51,vfdb,NP_462656,(misL) putative autotransporter [MisL (VF0397)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
10,barcode01,barcode01_contig_1,989366,990285,-,rfaD,1-917/927,========/======,7/9,98.6,70.64,vfdb,NP_439271,(rfaD) ADP-L-glycero-D-mannoheptose-6-epimerase [LOS (VF0044)] [Haemophilus influenzae Rd KW20],
11,barcode01,barcode01_contig_1,1065340,1065876,+,lpfA,1-537/537,===============,0/0,100.0,99.81,vfdb,NP_462541,(lpfA) long polar fimbria protein LpfA [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
12,barcode01,barcode01_contig_1,1065961,1066659,+,lpfB,1-699/699,===============,0/0,100.0,99.86,vfdb,NP_462540,(lpfB) long polar fimbrial chaperone protein LpfB [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
13,barcode01,barcode01_contig_1,1066682,1069210,+,lpfC,1-2529/2529,===============,0/0,100.0,99.64,vfdb,NP_462539,(lpfC) long polar fimbrial usher protein LpfC [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
14,barcode01,barcode01_contig_1,1069228,1070307,+,lpfD,1-1080/1080,===============,0/0,100.0,99.91,vfdb,NP_462538,(lpfD) long polar fimbrial protein LpfD [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
15,barcode01,barcode01_contig_1,1070313,1070840,+,lpfE,1-528/528,===============,0/0,100.0,100.0,vfdb,NP_462537,(lpfE) long polar fimbrial minor subunit LpfE adhesin [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
16,barcode01,barcode01_contig_1,1551068,1552182,+,rfaE,298-1412/1431,..======/======,4/8,77.64,66.58,vfdb,NP_439675,(rfaE) ADP-heptose synthase [LOS (VF0044)] [Haemophilus influenzae Rd KW20],
17,barcode01,barcode01_contig_1,1829383,1830336,-,sopD,1-954/954,===============,0/0,100.0,98.32,vfdb,NP_461866,(sopD) type III secretion system effector SopD [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
18,barcode01,barcode01_contig_1,1874046,1874489,-,invH,1-444/444,===============,0/0,100.0,98.87,vfdb,NP_461821,(invH) type III secretion system pilotin invG [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
19,barcode01,barcode01_contig_1,1874945,1875595,+,invF,1-651/651,===============,0/0,100.0,99.69,vfdb,NP_461820,(invF) type III secretion system regulatory protein InvF [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
20,barcode01,barcode01_contig_1,1875592,1877280,+,invG,1-1689/1689,===============,0/0,100.0,99.29,vfdb,NP_461819,(invG) type III secretion system secretin invG [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
21,barcode01,barcode01_contig_1,1877277,1878395,+,invE,1-1119/1119,===============,0/0,100.0,99.91,vfdb,NP_461818,(invE) type III secretion system gatekeeper invE [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
22,barcode01,barcode01_contig_1,1878420,1880477,+,invA,1-2058/2058,===============,0/0,100.0,99.22,vfdb,NP_461817,(invA) type III secretion system major export apparatus protein InvA [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
23,barcode01,barcode01_contig_1,1880501,1880908,+,invB,1-408/408,===============,0/0,100.0,99.02,vfdb,NP_461816,(invB) type III secretion system protein InvB [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
24,barcode01,barcode01_contig_1,1880905,1882200,+,invC,1-1296/1296,===============,0/0,100.0,99.15,vfdb,NP_461815,(invC) type III secretion system ATPase InvC [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
