,SampleID,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
0,barcode01,barcode01_contig_1,934349,935044,+,mgtC,1-696/696,===============,0/0,100.0,99.86,vfdb,NP_462663,(mgtC) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
1,barcode01,barcode01_contig_1,935264,937991,+,mgtB,1-2727/2727,========/======,1/1,100.0,99.19,vfdb,NP_462662,(mgtB) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
2,barcode01,barcode01_contig_1,941847,944714,-,misL,1-2868/2868,===============,0/0,100.0,99.51,vfdb,NP_462656,(misL) putative autotransporter [MisL (VF0397)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
3,barcode01,barcode01_contig_1,1065338,1065874,+,lpfA,1-537/537,===============,0/0,100.0,99.81,vfdb,NP_462541,(lpfA) long polar fimbria protein LpfA [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
4,barcode01,barcode01_contig_1,1065959,1066657,+,lpfB,1-699/699,===============,0/0,100.0,99.86,vfdb,NP_462540,(lpfB) long polar fimbrial chaperone protein LpfB [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
5,barcode01,barcode01_contig_1,1066680,1069208,+,lpfC,1-2529/2529,===============,0/0,100.0,99.64,vfdb,NP_462539,(lpfC) long polar fimbrial usher protein LpfC [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
6,barcode01,barcode01_contig_1,1069226,1070305,+,lpfD,1-1080/1080,===============,0/0,100.0,99.91,vfdb,NP_462538,(lpfD) long polar fimbrial protein LpfD [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
7,barcode01,barcode01_contig_1,1070311,1070838,+,lpfE,1-528/528,===============,0/0,100.0,100.0,vfdb,NP_462537,(lpfE) long polar fimbrial minor subunit LpfE adhesin [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
8,barcode01,barcode01_contig_1,1829380,1830333,-,sopD,1-954/954,===============,0/0,100.0,98.32,vfdb,NP_461866,(sopD) type III secretion system effector SopD [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
9,barcode01,barcode01_contig_1,1874043,1874486,-,invH,1-444/444,===============,0/0,100.0,98.87,vfdb,NP_461821,(invH) type III secretion system pilotin invG [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
10,barcode01,barcode01_contig_1,1874942,1875592,+,invF,1-651/651,===============,0/0,100.0,99.69,vfdb,NP_461820,(invF) type III secretion system regulatory protein InvF [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
11,barcode01,barcode01_contig_1,1875589,1877277,+,invG,1-1689/1689,===============,0/0,100.0,99.29,vfdb,NP_461819,(invG) type III secretion system secretin invG [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
12,barcode01,barcode01_contig_1,1877274,1878392,+,invE,1-1119/1119,===============,0/0,100.0,99.91,vfdb,NP_461818,(invE) type III secretion system gatekeeper invE [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
13,barcode01,barcode01_contig_1,1878417,1880474,+,invA,1-2058/2058,===============,0/0,100.0,99.22,vfdb,NP_461817,(invA) type III secretion system major export apparatus protein InvA [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
14,barcode01,barcode01_contig_1,1880498,1880905,+,invB,1-408/408,===============,0/0,100.0,99.02,vfdb,NP_461816,(invB) type III secretion system protein InvB [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
15,barcode01,barcode01_contig_1,1880902,1882197,+,invC,1-1296/1296,===============,0/0,100.0,99.15,vfdb,NP_461815,(invC) type III secretion system ATPase InvC [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
16,barcode01,barcode01_contig_1,1882175,1882619,+,invI,1-444/444,========/======,1/1,100.0,99.33,vfdb,NP_461814,(invI) type III secretion system stalk protein InvI [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
17,barcode01,barcode01_contig_1,1882619,1883629,+,invJ,1-1011/1011,===============,0/0,100.0,99.31,vfdb,NP_461813,(invJ) type III secretion system needle length regulator InvJ [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
18,barcode01,barcode01_contig_1,1883629,1884540,+,spaO,1-912/912,===============,0/0,100.0,99.89,vfdb,NP_461812,(spaO) type III secretion system C ring protein SpaO [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
19,barcode01,barcode01_contig_1,1884530,1885204,+,spaP,1-675/675,===============,0/0,100.0,99.11,vfdb,NP_461811,(spaP) type III secretion system minor export apparatus protein SpaP [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
20,barcode01,barcode01_contig_1,1885230,1885490,+,spaQ,1-261/261,===============,0/0,100.0,100.0,vfdb,NP_461810,(spaQ) type III secretion system minor export apparatus protein SpaQ [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
21,barcode01,barcode01_contig_1,1885494,1886285,+,spaR,1-792/792,===============,0/0,100.0,99.37,vfdb,NP_461809,(spaR) type III secretion system minor export apparatus protein SpaR [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
22,barcode01,barcode01_contig_1,1886272,1887343,+,spaS,1-1071/1071,========/======,1/1,100.0,99.44,vfdb,NP_461808,(spaS) type III secretion system export apparatus switch protein SpaS [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
23,barcode01,barcode01_contig_1,1887481,1887978,+,sicA,1-498/498,===============,0/0,100.0,99.2,vfdb,NP_461807,(sicA) chaparone for SipC and SipB [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
24,barcode01,barcode01_contig_1,1887981,1889762,+,sipB/sspB,1-1782/1782,===============,0/0,100.0,99.5,vfdb,NP_461806,(sipB/sspB) type III secretion system hydrophilic translocator pore protein SipB [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
25,barcode01,barcode01_contig_1,1889790,1891019,+,sipC/sspC,1-1230/1230,===============,0/0,100.0,99.43,vfdb,NP_461805,(sipC/sspC) type III secretion system hydrophilic translocator pore protein SipC [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
26,barcode01,barcode01_contig_1,1891090,1892121,+,sipD,1-1032/1032,===============,0/0,100.0,99.71,vfdb,NP_461804,(sipD) type III secretion system hydrophilic translocator needle tip protein SipD [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
27,barcode01,barcode01_contig_1,1892140,1894198,+,sipA/sspA,1-2058/2058,========/======,1/1,100.0,99.56,vfdb,NP_461803,(sipA/sspA) type III secretion system effector SipA actin polymerizing activity [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
